,success,reward,,,,,0.740294991
610,0.823076923,-1.294457692,,,,,
611,0.830769231,-1.3083,,,,,
612,0.815384615,-1.334911538,,,,,
613,0.846153846,-1.261757692,,,,,
614,0.807692308,-1.472423077,,,,,
615,0.830769231,-1.333003846,,,,,
616,0.869230769,-1.157092308,,,,,
617,0.761538462,-1.650534615,,,,,
618,0.769230769,-1.489603846,,,,,
619,0.807692308,-1.381988462,,,,,
620,0.853846154,-1.207534615,,,,,
621,0.830769231,-1.309592308,,,,,
622,0.861538462,-1.398957692,,,,,
623,0.853846154,-1.332046154,,,,,
624,0.723076923,-1.692038462,,,,,
625,0.769230769,-1.469296154,,,,,
626,0.738461538,-1.397453846,,,,,
627,0.807692308,-1.277084615,,,,,
628,0.792307692,-1.197246154,,,,,
629,0.776923077,-1.509084615,,,,,
630,0.784615385,-1.381403846,,,,,
631,0.853846154,-1.204246154,,,,,
632,0.838461538,-1.259642308,,,,,
633,0.884615385,-1.1893,,,,,
634,0.846153846,-1.251238462,,,,,
635,0.815384615,-1.35505,,,,,
636,0.861538462,-1.288888462,,,,,
637,0.823076923,-1.262876923,,,,,
638,0.769230769,-1.455653846,,,,,
639,0.761538462,-1.410623077,,,,,
640,0.730769231,-1.504361538,,,,,
641,0.769230769,-1.376261538,,,,,
642,0.776923077,-1.316165385,,,,,
643,0.823076923,-1.519369231,,,,,
644,0.769230769,-1.578996154,,,,,
645,0.8,-1.466446154,,,,,
646,0.776923077,-1.327176923,,,,,
647,0.838461538,-1.294076923,,,,,
648,0.807692308,-1.338003846,,,,,
649,0.8,-1.364676923,,,,,
650,0.738461538,-1.532961538,,,,,
651,0.861538462,-1.301942308,,,,,
652,0.830769231,-1.233596154,,,,,
653,0.830769231,-1.237292308,,,,,
654,0.761538462,-1.397938462,,,,,
655,0.853846154,-1.206023077,,,,,
656,0.838461538,-1.263719231,,,,,
657,0.830769231,-1.560211538,,,,,
658,0.823076923,-1.405130769,,,,,
659,0.784615385,-1.369257692,,,,,
660,0.846153846,-1.235292308,,,,,
661,0.8,-1.362207692,,,,,
662,0.784615385,-1.390973077,,,,,
663,0.807692308,-1.389288462,,,,,
664,0.830769231,-1.364807692,,,,,
665,0.776923077,-1.531723077,,,,,
666,0.769230769,-1.415426923,,,,,
667,0.869230769,-1.286419231,,,,,
668,0.8,-1.313511538,,,,,
669,0.869230769,-1.269,,,,,
670,0.746153846,-1.696907692,,,,,
671,0.776923077,-1.446234615,,,,,
672,0.853846154,-1.298884615,,,,,
673,0.815384615,-1.250938462,,,,,
674,0.8,-1.365965385,,,,,
675,0.784615385,-1.329561538,,,,,
676,0.838461538,-1.355919231,,,,,
677,0.869230769,-1.188546154,,,,,
678,0.792307692,-1.275342308,,,,,
679,0.776923077,-1.36645,,,,,
680,0.823076923,-1.336165385,,,,,
681,0.815384615,-1.365546154,,,,,
682,0.792307692,-1.428307692,,,,,
683,0.815384615,-1.250969231,,,,,
684,0.8,-1.623903846,,,,,
685,0.776923077,-1.352669231,,,,,
686,0.892307692,-1.3345,,,,,
687,0.807692308,-1.286742308,,,,,
688,0.784615385,-1.391776923,,,,,
689,0.869230769,-1.1419,,,,,
690,0.776923077,-1.487938462,,,,,
691,0.823076923,-1.288857692,,,,,
692,0.838461538,-1.358284615,,,,,
693,0.8,-1.577392308,,,,,
694,0.769230769,-1.697503846,,,,,
695,0.753846154,-1.685392308,,,,,
696,0.730769231,-1.586488462,,,,,
697,0.792307692,-1.378526923,,,,,
698,0.707692308,-1.759315385,,,,,
699,0.784615385,-1.3618,,,,,
700,0.8,-1.335526923,,,,,
701,0.807692308,-1.317276923,,,,,
702,0.023076923,-15.38845,,,,,
703,0.030769231,-14.02048462,,,,,
704,0.015384615,-15.62818462,,,,,
